epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,3240.18,0.23481,21.4797,0.11267,0.99183,1,0.98925,0.95872,0.06999,0.19563,0.01848,0.000302154,0.000302154,0.000302154
2,6073.41,0.07154,0.15042,0.02195,0.99941,1,0.995,0.95021,0.07219,0.12854,0.02191,0.000545243,0.000545243,0.000545243
3,8687.01,0.06662,0.14046,0.02032,0.9992,1,0.995,0.94686,0.05677,0.10175,0.01475,0.000728339,0.000728339,0.000728339
4,11381.5,0.06191,0.11795,0.01789,0.99923,1,0.995,0.954,0.05897,0.09975,0.01535,0.000639027,0.000639027,0.000639027
5,14160.7,0.05406,0.10129,0.01476,0.99934,1,0.995,0.9461,0.0602,0.10019,0.01557,0.000549036,0.000549036,0.000549036
6,17007.8,0.05314,0.09687,0.01431,0.99946,1,0.995,0.96113,0.05643,0.09887,0.01409,0.000459045,0.000459045,0.000459045
7,19487.7,0.05074,0.0948,0.01308,0.99949,1,0.995,0.94622,0.05401,0.09271,0.01346,0.000369054,0.000369054,0.000369054
8,22356.6,0.04756,0.08806,0.01184,0.99938,1,0.995,0.9619,0.05378,0.0915,0.01415,0.000279063,0.000279063,0.000279063
9,24936.9,0.04579,0.08807,0.01122,0.99026,1,0.995,0.95603,0.05253,0.11849,0.01343,0.000189072,0.000189072,0.000189072
10,27382.9,0.04301,0.07743,0.01029,0.99944,1,0.995,0.95,0.04888,0.07855,0.01157,9.9081e-05,9.9081e-05,9.9081e-05
